Medicine name,EML section,Formulations,Indication,ATC codes,Combined with,Status,clean_name,match_aliases
heparin sodium,Medicines affecting coagulation,Parenteral > General injections > IV: 1000 IU per  mL in 1 mL ampoule; 20000 IU per  mL in 1 mL ampoule; 5000 IU per  mL in 1 mL ampoule,Venous thromboembolism,B01AB01,,Added,heparin sodium,"['heparin sodium', 'heparin', 'sodium']"
hepatitis A vaccine,Recommendations for some high-risk populations,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against viral hepatitis,J07BC02,,Added,hepatitis a vaccine,"['hepatitis a vaccine', 'vaccine', 'a', 'hepatitis']"
hepatitis B vaccine,Recommendations for all immunization programmes,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against viral hepatitis,J07BC01,,Added,hepatitis b vaccine,"['b', 'hepatitis b vaccine', 'vaccine', 'hepatitis']"
homatropine,Ophthalmological preparations > Mydriatics,"Local > Ophthalmological > Solution (eye drops): 2% (hydrobromide)
",Anterior uveitis,,,Added,homatropine,['homatropine']
human papilloma virus (HPV) vaccine,Recommendations for all immunization programmes,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against certain single viral diseases,J07BM01,,Added,human papilloma virus (hpv) vaccine,"['(hpv)', 'papilloma', 'human papilloma virus (hpv) vaccine', 'human', 'vaccine', 'virus']"
hydralazine,Antihypertensive medicines,"Parenteral > General injections > IV: 20 mg in ampoule powder for injection (hydrochloride)
Oral > Solid: 50 mg tablet; 25 mg tablet (hydrochloride)
Oral > Solid: 50 mg (hydrochloride); 25 mg (hydrochloride)",Gestational hypertension,C02DB02,,Added,hydralazine,['hydralazine']
hydrochlorothiazide,Antihypertensive medicines,"Oral > Liquid: 50 mg per 5 mL
Oral > Solid: 25 mg; 12.5 mg",Essential hypertension,C03AA03,,Added,hydrochlorothiazide,['hydrochlorothiazide']
hydrochlorothiazide,Medicines used in heart failure,"Oral > Liquid: 50 mg per 5 mL
Oral > Solid: 25 mg",Heart failure,C03AA03,,Added,hydrochlorothiazide,['hydrochlorothiazide']
hydrochlorothiazide,Diuretics,Oral > Solid: 25 mg,Oedema,C03AA03,,Added,hydrochlorothiazide,['hydrochlorothiazide']
hydrocortisone,Hormones and antihormones,Parenteral > General injections > unspecified: 100 mg in vial (as sodium succinate),"Lymphoid leukaemia, not elsewhere classified",H02AB09,,Added,hydrocortisone,['hydrocortisone']
hydrocortisone,Hormones and antihormones,Parenteral > General injections > unspecified: 100 mg in vial (as sodium succinate),Burkitt lymphoma including Burkitt leukaemia,H02AB09,,Added,hydrocortisone,['hydrocortisone']
hydrocortisone,Adrenal hormones and synthetic substitutes,Oral > Solid: 5 mg; 10 mg; 20 mg,Adrenocortical insufficiency,H02AB09,,Added,hydrocortisone,['hydrocortisone']
hydrocortisone,Antiallergics and medicines used in anaphylaxis,Parenteral > General injections > unspecified: 100 mg in vial powder for injection (as sodium succinate),Anaphylaxis,H02AB09,,Added,hydrocortisone,['hydrocortisone']
hydrocortisone,Anti-inflammatory medicines,"Local > Rectal > Suppository: 25 mg (acetate)
Local > Rectal > Retention enema: 100 mg per 60 mL",Crohn disease site,A07EA02,,Added,hydrocortisone,['hydrocortisone']
hydrocortisone,Anti-inflammatory medicines,"Local > Rectal > Suppository: 25 mg (acetate)
Local > Rectal > Retention enema: 100 mg per 60 mL",Ulcerative colitis,A07EA02,,Added,hydrocortisone,['hydrocortisone']
hydrocortisone,Dermatological medicines > Anti-inflammatory and antipruritic medicines,"Local > Topical > Cream: 1% (acetate)
Local > Topical > Ointment: 1% (acetate)",Dermatitis or eczema,D07AA02,,Added,hydrocortisone,['hydrocortisone']
hydrocortisone,Dermatological medicines > Anti-inflammatory and antipruritic medicines,"Local > Topical > Cream: 1% (acetate)
Local > Topical > Ointment: 1% (acetate)",Lichen planus,D07AA02,,Added,hydrocortisone,['hydrocortisone']
hydrocortisone,Dermatological medicines > Anti-inflammatory and antipruritic medicines,"Local > Topical > Cream: 1% (acetate)
Local > Topical > Ointment: 1% (acetate)",Pruritus due to skin disorder,D07AA02,,Added,hydrocortisone,['hydrocortisone']
hydrocortisone,Dermatological medicines > Anti-inflammatory and antipruritic medicines,"Local > Topical > Cream: 1% (acetate)
Local > Topical > Ointment: 1% (acetate)",Psoriasis of unspecified type,D07AA02,,Added,hydrocortisone,['hydrocortisone']
hydromorphone,Opioid analgesics,,Pain,,,Added,hydromorphone,['hydromorphone']
hydroxocobalamin,Antianaemia medicines,Parenteral > General injections > IM: 1 mg per  mL in 1 mL ampoule (as acetate); 1 mg per  mL in 1 mL ampoule (as hydrochloride); 1 mg per  mL in 1 mL ampoule (as sulfate),Megaloblastic anaemia due to vitamin B12 deficiency,B03BA03,,Added,hydroxocobalamin,['hydroxocobalamin']
hydroxycarbamide (hydroxyurea),Cytotoxic medicines,"Oral > Solid: 200 mg; 250 mg; 300 mg; 400 mg; 500 mg; 1 g
Oral > Solid > dosage form: 200 mg; 300 mg; 400 mg; 500 mg; 1 g; 100 mg","Chronic myeloid leukaemia, not elsewhere classified",L01XX05,,Added,hydroxycarbamide (hydroxyurea),"['hydroxycarbamide (hydroxyurea)', '(hydroxyurea)', 'hydroxycarbamide']"
hydroxycarbamide (hydroxyurea),Other medicines for haemoglobinopathies,Oral > Solid > dosage form: 200 mg; 500 mg; 1 g; 100 mg,Other specified sickle cell disorders or other haemoglobinopathies,L01XX05,,Added,hydroxycarbamide (hydroxyurea),"['hydroxycarbamide (hydroxyurea)', '(hydroxyurea)', 'hydroxycarbamide']"
hydroxychloroquine,Disease-modifying anti-rheumatic drugs (DMARDs),Oral > Solid: 200 mg (as sulfate),Systemic lupus erythematosus,P01BA02,,Added,hydroxychloroquine,['hydroxychloroquine']
hydroxychloroquine,Disease-modifying anti-rheumatic drugs (DMARDs),Oral > Solid: 200 mg (as sulfate),Cutaneous lupus erythematosus of unspecified type,P01BA02,,Added,hydroxychloroquine,['hydroxychloroquine']
hyoscine butylbromide,Medicines for other common symptoms in palliative care,Parenteral > General injections > unspecified: 20 mg per  mL injection,Palliative care,A03BB01,,Added,hyoscine butylbromide,"['hyoscine', 'hyoscine butylbromide', 'butylbromide']"
hyoscine hydrobromide,Medicines for other common symptoms in palliative care,"Local > Topical > Transdermal patch: 1 mg per 72 hours transdermal patch
Parenteral > General injections > unspecified: 400 µg per  mL injection; 600 µg per  mL injection",Palliative care,A04AD01,,Added,hyoscine hydrobromide,"['hyoscine', 'hyoscine hydrobromide', 'hydrobromide']"
ibrutinib,Targeted therapies,Oral > Solid: 140 mg,Chronic lymphocytic leukaemia or small lymphocytic lymphoma,L01EL01,,Added,ibrutinib,['ibrutinib']
ibuprofen,Medicines administered to the neonate [c],Parenteral > General injections > IV: 5 mg per  mL,Patent arterial duct,C01EB16,,Added,ibuprofen,['ibuprofen']
ibuprofen,Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs),"Oral > Liquid: 200 mg per 5 mL; 100 mg per 5 mL
Oral > Solid > tablet: 200 mg; 400 mg; 600 mg",Pain,M01AE01,,Added,ibuprofen,['ibuprofen']
ibuprofen,Antimigraine medicines > For treatment of acute attack,"Oral > Liquid: 100 mg per 5 mL; 200 mg per 5 mL
Oral > Solid > tablet: 200 mg; 400 mg",Migraine,M01AE01,,Added,ibuprofen,['ibuprofen']
ifosfamide,Cytotoxic medicines,"Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection",Other specified malignant neoplasms of the ovary,L01AA06,,Added,ifosfamide,['ifosfamide']
ifosfamide,Cytotoxic medicines,"Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection",Germ cell tumour of testis,L01AA06,,Added,ifosfamide,['ifosfamide']
ifosfamide,Cytotoxic medicines,"Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection",Ewing sarcoma of bone and articular cartilage of unspecified sites,L01AA06,,Added,ifosfamide,['ifosfamide']
ifosfamide,Cytotoxic medicines,"Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection",Osteosarcoma of bone and articular cartilage of unspecified sites,L01AA06,,Added,ifosfamide,['ifosfamide']
ifosfamide,Cytotoxic medicines,"Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection",Rhabdomyosarcoma primary site,L01AA06,,Added,ifosfamide,['ifosfamide']
ifosfamide,Cytotoxic medicines,"Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection",Burkitt lymphoma including Burkitt leukaemia,L01AA06,,Added,ifosfamide,['ifosfamide']
ifosfamide,Cytotoxic medicines,"Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Malignant neoplasms of kidney, except renal pelvis",L01AA06,,Added,ifosfamide,['ifosfamide']
ifosfamide,Cytotoxic medicines,"Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Anaplastic large cell lymphoma, ALK-negative",L01AA06,,Added,ifosfamide,['ifosfamide']
ifosfamide,Cytotoxic medicines,"Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Parenteral > General injections > IV: 1 g in vial powder for injection; 2 g in vial powder for injection","Anaplastic large cell lymphoma, ALK-positive",L01AA06,,Added,ifosfamide,['ifosfamide']
imatinib,Targeted therapies,Oral > Solid: 100 mg; 400 mg,B lymphoblastic leukaemia or lymphoma with t(9:22) (q34;q11.2); BCR-ABL1,L01EA01,,Added,imatinib,['imatinib']
imatinib,Targeted therapies,Oral > Solid: 100 mg; 400 mg,Gastrointestinal stromal tumour of unspecified gastrointestinal sites,L01EA01,,Added,imatinib,['imatinib']
imatinib,Targeted therapies,Oral > Solid: 100 mg; 400 mg,"Chronic myeloid leukaemia, not elsewhere classified",L01EA01,,Added,imatinib,['imatinib']
imipenem + cilastatin,Watch group antibiotics,"Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
",Peritonitis (severe),J01DH02,,Added,imipenem + cilastatin,"['+', 'imipenem', 'cilastatin', 'imipenem + cilastatin']"
imipenem + cilastatin,Watch group antibiotics,"Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
",Peritoneal abscess (severe),J01DH02,,Added,imipenem + cilastatin,"['+', 'imipenem', 'cilastatin', 'imipenem + cilastatin']"
imipenem + cilastatin,Watch group antibiotics,"Parenteral > General injections > IV: 250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection
",Neutropenia (high-risk),J01DH02,,Added,imipenem + cilastatin,"['+', 'imipenem', 'cilastatin', 'imipenem + cilastatin']"
imipenem + cilastatin,Antituberculosis medicines,,Multi-drug resistant Mycobacterium tuberculosis,,,Added,imipenem + cilastatin,"['+', 'imipenem', 'cilastatin', 'imipenem + cilastatin']"
indapamide,Antihypertensive medicines,,Essential hypertension,,,Added,indapamide,['indapamide']
indapamide,Medicines used in heart failure,,Heart failure,,,Added,indapamide,['indapamide']
indometacin,Medicines administered to the neonate [c],,Patent arterial duct,,,Added,indometacin,['indometacin']
infliximab,Immunomodulators for non-malignant disease,,Axial spondyloarthritis,,,Added,infliximab,['infliximab']
infliximab,Immunomodulators for non-malignant disease,,Crohn disease site,,,Added,infliximab,['infliximab']
infliximab,Immunomodulators for non-malignant disease,,Rheumatoid arthritis,,,Added,infliximab,['infliximab']
infliximab,Medicines for juvenile joint diseases,,Juvenile idiopathic arthritis,,,Added,infliximab,['infliximab']
influenza vaccine (seasonal),Recommendations for immunization programmes with certain characteristics,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against influenza,"J07BB01, J07BB02, J07BB03",,Added,influenza vaccine (seasonal),"['influenza vaccine (seasonal)', 'vaccine', '(seasonal)', 'influenza']"
insulin,Insulins,Parenteral > General injections > SC: 40 IU per  mL in 10 mL vial (soluble); 100 IU per  mL in 10 mL vial (soluble); 100 IU per  mL in 3 mL cartridge (soluble); 100 IU per  mL in 3 mL pre-filled pen (soluble),Type 2 diabetes mellitus,A10AC01,,Added,insulin,['insulin']
insulin,Insulins,Parenteral > General injections > SC: 40 IU per  mL in 10 mL vial (soluble); 100 IU per  mL in 10 mL vial (soluble); 100 IU per  mL in 3 mL cartridge (soluble); 100 IU per  mL in 3 mL pre-filled pen (soluble),Type 1 diabetes mellitus,A10AC01,,Added,insulin,['insulin']
insulin degludec,Insulins,"Parenteral > General injections > SC: 100 units per  mL
",Type 1 diabetes mellitus,,,Added,insulin degludec,"['degludec', 'insulin degludec', 'insulin']"
insulin degludec,Insulins,"Parenteral > General injections > SC: 100 units per  mL
",Type 2 diabetes mellitus,,,Added,insulin degludec,"['degludec', 'insulin degludec', 'insulin']"
insulin detemir,Insulins,,Type 1 diabetes mellitus,,,Added,insulin detemir,"['insulin detemir', 'detemir', 'insulin']"
insulin detemir,Insulins,,Type 2 diabetes mellitus,,,Added,insulin detemir,"['insulin detemir', 'detemir', 'insulin']"
insulin glargine,Insulins,"Parenteral > General injections > SC: 100 units per  mL
",Type 1 diabetes mellitus,,,Added,insulin glargine,"['insulin glargine', 'insulin', 'glargine']"
insulin glargine,Insulins,"Parenteral > General injections > SC: 100 units per  mL
",Type 2 diabetes mellitus,,,Added,insulin glargine,"['insulin glargine', 'insulin', 'glargine']"
intermediate-acting insulin,Insulins,Parenteral > General injections > SC: 40 IU per  mL in 10 mL vial as compound insulin zinc suspension or isophane insulin; 100 IU per  mL in 10 mL vial as compound insulin zinc suspension or isophane insulin; 100 IU per  mL in 3 mL cartridge as compound insulin zinc suspension or isophane insulin; 100 IU per  mL in 3 mL pre-filled pen as compound insulin zinc suspension or isophane insulin,Type 1 diabetes mellitus,A10AC01,,Added,intermediate-acting insulin,"['intermediate-acting insulin', 'intermediate-acting', 'insulin']"
intermediate-acting insulin,Insulins,Parenteral > General injections > SC: 40 IU per  mL in 10 mL vial as compound insulin zinc suspension or isophane insulin; 100 IU per  mL in 10 mL vial as compound insulin zinc suspension or isophane insulin; 100 IU per  mL in 3 mL cartridge as compound insulin zinc suspension or isophane insulin; 100 IU per  mL in 3 mL pre-filled pen as compound insulin zinc suspension or isophane insulin,Type 2 diabetes mellitus,A10AC01,,Added,intermediate-acting insulin,"['intermediate-acting insulin', 'intermediate-acting', 'insulin']"
intraperitoneal dialysis solution,Peritoneal dialysis solution,parenteral solution,Care involving peritoneal dialysis,,,Added,intraperitoneal dialysis solution,"['dialysis', 'intraperitoneal', 'solution', 'intraperitoneal dialysis solution']"
iodine,Vitamins and minerals,"Parenteral > General injections > IM: 0.5 mL (240 mg iodine) iodized oil in ampoule; 1 mL (480 mg iodine) iodized oil in ampoule
Oral > Liquid: 1 mL (480 mg iodine) iodized oil in ampoule; 0.5 mL (240 mg iodine) iodized oil in ampoule; 0.57 mL (308 mg iodine) iodized oil in dispenser bottle
Oral > Solid: 190 mg",Iodine deficiency,H03CA,,Added,iodine,['iodine']
iodine,Antiseptics,,Povidone iodine,,,Added,iodine,['iodine']
iohexol,Diagnostic agents > Radiocontrast media,Parenteral > General injections > unspecified: 140 to 350 mg iodine per  mL in 5 mL ampoule; 140 to 350 mg iodine per  mL in 10 mL ampoule; 140 to 350 mg iodine per  mL in 20 mL ampoule,"X-ray contrast media, iodinated",V08AB02,,Added,iohexol,['iohexol']
ipratropium bromide,Antiasthmatic and medicines for chronic obstructive pulmonary disease,Respiratory > Inhalation > aerosol: 20 µg per  dose,Asthma,R03BB01,,Added,ipratropium bromide,"['ipratropium', 'bromide', 'ipratropium bromide']"
ipratropium bromide,Antiasthmatic and medicines for chronic obstructive pulmonary disease,Respiratory > Inhalation > aerosol: 20 µg per  dose,Chronic obstructive pulmonary disease,R03BB01,,Added,ipratropium bromide,"['ipratropium', 'bromide', 'ipratropium bromide']"
irinotecan,Cytotoxic medicines,Parenteral > General injections > IV: 40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial,Malignant neoplasm metastasis in large intestine,L01CE02,,Added,irinotecan,['irinotecan']
irinotecan,Cytotoxic medicines,Parenteral > General injections > IV: 40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial,"Malignant neoplasms of kidney, except renal pelvis",L01CE02,,Added,irinotecan,['irinotecan']
irinotecan,Cytotoxic medicines,Parenteral > General injections > IV: 40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial,Rhabdomyosarcoma primary site,L01CE02,,Added,irinotecan,['irinotecan']
isoflurane,General anaesthetics and oxygen > Inhalational medicines,Respiratory > Inhalation > liquid: ,Anaesthetics and therapeutic gases,N01AB06,,Added,isoflurane,['isoflurane']
isoniazid,Antituberculosis medicines,"Parenteral > General injections > IV: 100 mg per  mL
Oral > Solid > dispersible tablet: 100 mg
Oral > Solid > tablet: 100 mg; 300 mg",Tuberculosis,J04AC01,,Added,isoniazid,['isoniazid']
isoniazid + pyrazinamide + rifampicin,Antituberculosis medicines,Oral > Solid > dispersible tablet: 50 mg + 150 mg + 75 mg,Tuberculosis,J04AM05,,Added,isoniazid + pyrazinamide + rifampicin,"['isoniazid + pyrazinamide + rifampicin', 'rifampicin', 'isoniazid', '+', 'pyrazinamide']"
isoniazid + pyridoxine + sulfamethoxazole + trimethoprim,Medicines for prevention of HIV-related opportunistic infections,Oral > Solid: 300 mg + 25 mg + 800 mg + 160 mg tablet (scored),Other specified prophylactic measures,J04AC51,,Added,isoniazid + pyridoxine + sulfamethoxazole + trimethoprim,"['sulfamethoxazole', 'trimethoprim', 'isoniazid', 'isoniazid + pyridoxine + sulfamethoxazole + trimethoprim', '+', 'pyridoxine']"
isoniazid + rifampicin,Antituberculosis medicines,"Oral > Solid > dispersible tablet: 50 mg + 75 mg
Oral > Solid > tablet: 75 mg + 150 mg; 150 mg + 300 mg",Tuberculosis,J04AM02,,Added,isoniazid + rifampicin,"['rifampicin', '+', 'isoniazid + rifampicin', 'isoniazid']"
isoniazid + rifapentine,Antituberculosis medicines,Oral > Solid: 300 mg + 300 mg tablet (scored),Latent tuberculosis,J04AC51,,Added,isoniazid + rifapentine,"['isoniazid + rifapentine', '+', 'rifapentine', 'isoniazid']"
isosorbide dinitrate,Antianginal medicines,Oral > Solid: 5 mg sublingual tablet,Angina pectoris,C01DA08,,Added,isosorbide dinitrate,"['isosorbide', 'dinitrate', 'isosorbide dinitrate']"
itraconazole,Antifungal medicines,"Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg",Chronic pulmonary aspergillosis,J02AC02,,Added,itraconazole,['itraconazole']
itraconazole,Antifungal medicines,"Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg",Chromoblastomycosis,J02AC02,,Added,itraconazole,['itraconazole']
itraconazole,Antifungal medicines,"Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg",Histoplasmosis,J02AC02,,Added,itraconazole,['itraconazole']
itraconazole,Antifungal medicines,"Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg",Talaromycosis,J02AC02,,Added,itraconazole,['itraconazole']
itraconazole,Antifungal medicines,"Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg",Sporotrichosis,J02AC02,,Added,itraconazole,['itraconazole']
itraconazole,Antifungal medicines,"Oral > Liquid: 10 mg per  mL
Oral > Solid: 100 mg",Paracoccidioidomycosis,J02AC02,,Added,itraconazole,['itraconazole']
ivermectin,Intestinal anthelminthics,Oral > Solid > tablet: 3 mg,Strongyloidiasis,P02CF01,,Added,ivermectin,['ivermectin']
ivermectin,Intestinal anthelminthics,Oral > Solid > tablet: 3 mg,Ascariasis,P02CF01,,Added,ivermectin,['ivermectin']
ivermectin,Intestinal anthelminthics,Oral > Solid > tablet: 3 mg,Trichuriasis,P02CF01,,Added,ivermectin,['ivermectin']
ivermectin,Intestinal anthelminthics,Oral > Solid > tablet: 3 mg,Hookworm diseases,P02CF01,,Added,ivermectin,['ivermectin']
ivermectin,Intestinal anthelminthics,Oral > Solid > tablet: 3 mg,Ancylostomiasis,P02CF01,,Added,ivermectin,['ivermectin']
ivermectin,Antifilarials,Oral > Solid > tablet: 3 mg,Onchocerciasis,P02CF01,,Added,ivermectin,['ivermectin']
ivermectin,Antifilarials,Oral > Solid > tablet: 3 mg,Lymphatic filariasis,P02CF01,,Added,ivermectin,['ivermectin']
ivermectin,Medicines for ectoparasitic infections,Oral > Solid > tablet: 3 mg,Scabies,P02CF01,,Added,ivermectin,['ivermectin']
kanamycin,Ophthalmological preparations > Anti-infective agents,,Other specified conjunctivitis,,,Added,kanamycin,['kanamycin']
kanamycin,Ophthalmological preparations > Anti-infective agents,,Infectious blepharitis,,,Added,kanamycin,['kanamycin']
ketamine,General anaesthetics and oxygen > Injectable medicines,Parenteral > General injections > unspecified: 50 mg per  mL in 10 mL vial (as hydrochloride),Anaesthetics and therapeutic gases,N01AX03,,Added,ketamine,['ketamine']
lactulose,Medicines for other common symptoms in palliative care,Oral > Liquid: 3.1 to 3.7 g per 5 mL oral liquid,Palliative care,A06AD11,,Added,lactulose,['lactulose']
lamivudine,Antiretrovirals > Nucleoside/Nucleotide reverse transcriptase inhibitors,"Oral > Liquid: 50 mg per 5 mL
Oral > Solid: 150 mg tablet","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",J05AF05,,Added,lamivudine,['lamivudine']
lamivudine + tenofovir,Fixed-dose combinations of antiretrovirals,,"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",,,Added,lamivudine + tenofovir,"['lamivudine + tenofovir', 'tenofovir', '+', 'lamivudine']"
lamivudine + tenofovir,Fixed-dose combinations of antiretrovirals,,Contact with or exposure to human immunodeficiency virus,,,Added,lamivudine + tenofovir,"['lamivudine + tenofovir', 'tenofovir', '+', 'lamivudine']"
lamivudine + zidovudine,Fixed-dose combinations of antiretrovirals,Oral > Solid: 30 mg + 60 mg Tablet; 150 mg + 300 mg Tablet,"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",J05AR01,,Added,lamivudine + zidovudine,"['zidovudine', 'lamivudine + zidovudine', '+', 'lamivudine']"
lamotrigine,Antiseizure medicines,"Oral > Solid: 25 mg tablet; 50 mg tablet; 100 mg tablet; 200 mg tablet; 2 mg tablet (chewable, dispersible); 5 mg tablet (chewable, dispersible); 25 mg tablet (chewable, dispersible); 50 mg tablet (chewable, dispersible); 100 mg tablet (chewable, dispersible); 200 mg tablet (chewable, dispersible)",Epilepsy or seizures,N03AX09,,Added,lamotrigine,['lamotrigine']
latanoprost,Ophthalmological preparations > Miotics and antiglaucoma medicines,Local > Ophthalmological > Solution (eye drops): 50 µg per  mL eye drops,Primary open-angle glaucoma,S01EE01,,Added,latanoprost,['latanoprost']
ledipasvir + sofosbuvir,Medicines for hepatitis C > Non-pangenotypic direct-acting antiviral combinations,Oral > Solid: 90 mg + 400 mg tablet,Chronic hepatitis C,J05AP51,,Added,ledipasvir + sofosbuvir,"['sofosbuvir', 'ledipasvir + sofosbuvir', '+', 'ledipasvir']"
lenalidomide,Immunomodulators,Oral > Solid: 25 mg,Plasma cell myeloma,L04AX04,,Added,lenalidomide,['lenalidomide']
letrozole,Ovulation inducers,Oral > Solid > dosage form: 2.5 mg,Female infertility without specification whether primary or secondary,L02BG04,,Added,letrozole,['letrozole']
leuprorelin,Hormones and antihormones,Parenteral > General injections > IM: 7.5 mg in prefilled syringe; 22.5 mg in prefilled syringe,Malignant neoplasms of breast,L02AE02,,Added,leuprorelin,['leuprorelin']
leuprorelin,Hormones and antihormones,Parenteral > General injections > IM: 7.5 mg in prefilled syringe; 22.5 mg in prefilled syringe,Malignant neoplasms of prostate,L02AE02,,Added,leuprorelin,['leuprorelin']
levamisole,Intestinal anthelminthics,Oral > Solid > tablet: 50 mg  (as hydrochloride); 150 mg  (as hydrochloride),Ascariasis,P02CE01,,Added,levamisole,['levamisole']
levetiracetam,Antiseizure medicines,"Oral > Liquid: 100 mg per  mL
Oral > Solid > tablet: 250 mg; 500 mg; 750 mg; 1000 mg
Parenteral > General injections > IV: 500 mg per 5 mL in 5 mL vial; 5 mg per  mL in 100 mL bag; 10 mg per  mL in 100 mL bag; 15 mg per  mL in 100 mL bag",Epilepsy or seizures,N03AX14,,Added,levetiracetam,['levetiracetam']
levetiracetam,Antiseizure medicines,"Oral > Liquid: 100 mg per  mL
Oral > Solid > tablet: 250 mg; 500 mg; 750 mg; 1000 mg
Parenteral > General injections > IV: 500 mg per 5 mL in 5 mL vial; 5 mg per  mL in 100 mL bag; 10 mg per  mL in 100 mL bag; 15 mg per  mL in 100 mL bag",Status epilepticus,N03AX14,,Added,levetiracetam,['levetiracetam']
levodopa + benserazide,Medicines for parkinsonism,,Parkinson disease,,,Added,levodopa + benserazide,"['benserazide', 'levodopa', 'levodopa + benserazide', '+']"
levodopa + carbidopa,Medicines for parkinsonism,Oral > Solid: 100 mg + 10 mg tablet; 250 mg + 25 mg tablet; 100 mg + 25 mg tablet,Parkinson disease,N04BA02,,Added,levodopa + carbidopa,"['levodopa', 'carbidopa', 'levodopa + carbidopa', '+']"
levofloxacin,Antituberculosis medicines,"Oral > Solid > dispersible tablet: 100 mg
Oral > Solid > tablet: 250 mg; 500 mg; 750 mg",Multi-drug resistant Mycobacterium tuberculosis,J01MA12,,Added,levofloxacin,['levofloxacin']
levonorgestrel,Oral hormonal contraceptives,"Oral > Solid: 750 µg [2]; 1.5 mg [1]
Oral > Solid: 30 µg",Contact with health services for postcoital contraception,G03AD01,,Added,levonorgestrel,['levonorgestrel']
levonorgestrel,Oral hormonal contraceptives,"Oral > Solid: 750 µg [2]; 1.5 mg [1]
Oral > Solid: 30 µg",Contact with health services for contraceptive management,G03AC03,,Added,levonorgestrel,['levonorgestrel']
levonorgestrel,Intrauterine devices,Intrauterine system with reservoir containing 52 mg of levonorgestrel.,Contact with health services for insertion of contraceptive device,G02BA03,,Added,levonorgestrel,['levonorgestrel']
levonorgestrel-releasing implant,Implantable contraceptives,Implant > Subdermal: 75 mg per  rod (two-rods),Contact with health services for insertion of contraceptive device,G03AC03,,Added,levonorgestrel-releasing implant,"['levonorgestrel-releasing implant', 'levonorgestrel-releasing', 'implant']"
levothyroxine,Thyroid hormones and antithyroid medicines,Oral > Solid: 50 µg (sodium salt); 100 µg (sodium salt); 25 µg (sodium salt),Hypothyroidism,H03AA01,,Added,levothyroxine,['levothyroxine']
lidocaine,Antiarrhythmic medicines,Parenteral > General injections > IV: 20 mg per  mL in 5 mL ampoule (hydrochloride),Ventricular tachyarrhythmia,C01BB01,,Added,lidocaine,['lidocaine']
